Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumProximoDistalForce
0.050001,57.05745805423004
0.066668,67.2988128943083
0.083335,118.66546744599589
0.100002,-88.19317080173738
0.116669,-33.0267097424105
0.133336,10.51810334264951
0.150003,86.58843826710682
0.16667,-138.1383465854683
0.183337,-117.325282779144
0.200004,171.4291479776657
0.216671,14.46444495547172
0.233338,-22.029762844529223
0.250005,-86.5271978813409
0.266672,-79.594680555097
0.283339,-7.361782751437403
0.300006,266.5899526537471
0.316673,-28.630573751275193
0.33334,126.44676746315281
0.350007,87.0998641974985
0.3666740000000001,270.8497660252842
0.383341,71.424732218346
0.400008,179.9602444295125
0.416675,299.3811848643655
0.433342,293.6713473448847
0.450009,50.09219283845641
0.466676,219.2719632786976
0.483343,213.4146449876926
0.50001,-4.678274244277588
0.516677,-5.063345249651292
0.533344,214.5663237287209
0.5500109999999999,210.9937015656221
0.566678,13.387742151821811
0.583345,57.17612652098501
0.600012,269.8410729210998
0.616679,72.67579743556041
0.633346,272.03630643141867
0.650013,55.64193876321025
0.6666799999999999,-100.76462382817772
0.683347,174.3917027844106
0.700014,-3.485783551146941
0.716681,185.5189637519976
0.733348,192.6514959173761
0.7500149999999999,88.37699520608652
0.766682,-147.75039182419937
0.783349,113.62449383288731
0.800016,-172.47088093460115
0.8166829999999999,-194.41089093964837
0.83335,-168.33835100823194
0.850017,-106.70569985560661
0.866684,23.71566484007514
0.883351,47.1236292890361
0.9000179999999999,-124.09662406108643
0.916685,86.43793327320347
0.933352,68.32212451403512
0.950019,196.47408239496747
0.966686,-12.719931000107294
0.983353,-78.23690611418795
1.00002,200.95106980745464
1.016687,239.6875105706726
1.033354,204.42180132805805
1.050021,18.695933465837797
1.066688,235.3162130125825
1.083355,211.8607021279134
1.100022,159.4009911112786
1.116689,93.70133848802911
1.133356,412.3240250314428
1.150023,556.1045829932697
1.16669,425.4324821370123
1.183357,640.1600572579237
1.200024,521.4178385453088
1.216691,569.2869565577482
1.233358,237.51679239691288
1.250025,268.9039052044841
1.266692,264.4513015425166
1.283359,535.9291529383468
1.300026,244.6834987644529
1.316693,258.3325408572997
1.33336,372.2441602836475
1.350027,364.3814906713734
1.366694,198.9509798476946
1.383361,425.4409838845457
1.400028,198.7161455016313
1.416695,254.5778602052801
1.433362,175.4146216911859
1.450029,355.9575248568468
1.466696,236.2016469446488
1.483363,61.7079046737847
1.50003,415.8757245037046
1.516697,198.4394263681431
1.533364,342.1944348532311
1.550031,227.3215798136384
1.566698,45.759954251187594
1.583365,396.350181278942
1.600032,428.4309159774041
1.616699,242.387948819875
1.633366,222.3219881158039
1.650033,119.4258524812575
1.6667,204.6217800195833
1.683367,293.9019120604836
1.700034,421.2618160667603
1.716701,201.25955909259483
1.733368,111.81433217002831
1.750035,199.35640874337412
1.766702,229.95742054036788
1.783369,374.5849238553466
1.800036,185.6913723555444
1.816703,316.682274234154
1.83337,371.339762224719
1.850037,470.6551867702837
1.866704,132.02622903745947
1.883371,161.23536200453287
1.900038,317.4896853693634
1.916705,449.4511469392176
1.933372,283.3247079919692
1.950039,259.8616874044996
1.966706,356.9375372466033
1.983373,196.0412381382653
2.00004,122.77120039802841
2.016707,39.19621449005709
2.033374,133.8626258613607
2.050041,259.22942734611024
2.066708,395.5548637133985
2.083375,210.3630587014905
2.100042,-3.474018497679907
